,data_size,data_id,mini_batch,n_conditions,cosine_shift,n_steps,list_steps,mmd,median,median_rmse,contractions,rel_contraction
22,10,2,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.6699677245676905,"[-0.4950926   0.45384297 -0.17470163  0.25931418  0.17847498 -0.26055238
 -0.21443856  0.43910763  0.4137306  -0.20319115]",0.2872809061070117,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999920789
23,10,3,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.536272692903329,"[-0.36707354 -0.18748705 -0.25339544 -0.2038726   0.07618798 -0.13050702
  0.12677494 -0.3179247  -0.44585198 -0.19506311]",0.2494102669719296,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999950192
24,10,4,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.7877089839256437,"[-0.47745597  0.3288612  -0.50175935  0.27415782 -0.08878782 -0.12950517
  0.4246717  -0.34880906  0.05608153 -0.04736811]",0.317348617126723,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999914476
25,10,5,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.62529682213543,"[-0.418278    0.08415008 -0.25913888  0.33831817  0.1537541  -0.3039186
  0.05160483 -0.3500217   0.2355666   0.03763209]",0.2731300113140875,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999975718
26,10,6,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.573374039286656,"[-0.20227894  0.24557029  0.0605165  -0.012394   -0.10682864  0.47505683
  0.07209245  0.11015122 -0.09780702 -0.454954  ]",0.2608289658757241,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999970365
27,10,7,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.746706301895744,"[-0.1995942  -0.41681805 -0.17166188 -0.03685615 -0.3536907   0.45151442
 -0.22604229  0.02364409  0.35585213 -0.09569319]",0.3067158605903975,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999962422
28,10,8,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.8442523815029201,"[-0.15773825 -0.03401552  0.14437148  0.02839522  0.3325831  -0.46950126
 -0.35122392  0.38721198  0.3699257   0.42703378]",0.3323170566872889,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.099999999993528
29,10,9,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.5479070655655489,"[ 0.08505718 -0.2687067   0.3482584   0.261915   -0.35788348  0.3476038
 -0.09768429  0.13114226  0.24657397 -0.0743126 ]",0.2541429491031837,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999951724
30,100,0,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.1028874045082806,"[ 0.22818048  0.06451267 -0.04054027  0.21651654  0.18505625  0.11367783
  0.12715219 -0.19489102 -0.07273696  0.14526682]",0.10272549065192346,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0099999999991858
31,100,1,1,1,0,3.0,"[0.5, 0.20480243861675262, 0.2951975464820862]",0.06039294946082441,"[-0.02831382  0.00129517  0.03249341  0.14562134  0.01858842  0.09152795
  0.13588446 -0.02595778 -0.01875229 -0.15585554]",0.07850804267317536,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.009999999999629
