,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local
25,16,25,1,1,1,0,5390.0,[ 0.88078904  0.09636304 -0.4133684 ],"[-0.10247588 -0.568751   -0.69821686  0.5674534  -0.7938132  -0.27138692
  0.26874074 -0.85797864 -0.7860032  -0.0798685  -0.06178975  0.17847127
 -0.3999309   0.20297971 -0.05125481 -0.40109834]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
26,16,26,1,1,1,0,5390.0,[-0.5150582   0.03021099 -1.1541154 ],"[ 0.5627682  -0.11308089  0.5363825  -0.34857878  0.35807645 -0.10614523
 -0.34072128  0.27235824  0.533007   -0.14491895  0.18365976 -0.378494
  0.18006426  0.13099983  0.02672985  0.03463897]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
27,16,27,1,1,1,0,5390.0,[-0.5939112  -0.00562239 -0.14265712],"[-0.5755934  -0.4872528  -0.5928898  -0.27363816 -0.24933156 -0.24583936
 -0.18152452 -0.4729809   0.6585032  -0.08503196 -0.13925052 -0.0301576
 -0.62099504 -0.48861125 -0.22501677  0.22526717]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
28,16,28,1,1,1,0,5390.0,[ 1.8616036 -0.6121726 -0.8172677],"[ 0.859193    0.07897785  0.32928172 -0.5577669   0.16616657 -0.6032065
 -0.02399039 -0.9145194  -0.3566995  -0.25960657 -0.74171734 -0.13282847
 -0.16849455  0.40988857  0.7817674   0.55938995]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
29,16,29,1,1,1,0,5390.0,[ 0.39055136  0.02493681 -0.45367694],"[ 0.07326341 -0.00291586 -0.04415655  0.38178837 -0.21389192  0.27367347
 -0.17536864  0.14090964  0.48194444 -0.3902456  -0.24819213  0.39632362
  0.7656816  -0.01141137 -0.14340329 -0.36388946]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
30,16,30,1,1,1,0,5390.0,[ 0.02531643  0.0313269  -0.09285203],"[-0.19511092  0.76393855  0.15728578  0.06935358  0.34371755 -0.35094872
 -0.34254497  0.2983082  -0.26360172  0.09493607 -0.5888636   0.03853044
 -0.19531569  0.21113205 -0.3509498   0.01518628]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
31,16,31,1,1,1,0,5390.0,[-1.3957015  0.6852007  1.3405524],"[ 0.1849474   0.9926948  -0.26765054  0.9328961   0.9971745   0.47424784
  0.7493565   0.3330249   0.8857922   0.61314327  0.3176182   0.8080371
  0.35515618  0.99397725  0.9945965  -0.34917092]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
32,16,32,1,1,1,0,5390.0,[-0.5939165   0.35786375 -0.49628586],"[ 0.17475826 -0.95854646 -0.837184    0.03483054 -0.13230005  0.69702476
 -0.74870765  0.48588198  0.49897343 -0.5845933   0.03625387  0.6991476
  0.21909279 -0.45996377 -0.57025576 -0.55346024]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
33,16,33,1,1,1,0,5390.0,[ 1.0226533  1.0852784 -0.9690397],"[-0.0077413   0.7446264   0.4050179   0.11404186 -0.12717754  0.9363986
 -0.59696555  0.80669576  0.02789769 -0.21076205  0.34097472  0.52289546
 -0.40115595  0.7508576   0.07594967  0.6024784 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
34,16,34,1,1,1,0,5390.0,[ 1.1692603  1.1256418 -1.0964562],"[ 0.77683103  0.8321226  -0.84396994 -0.02530903  0.6018911   0.6590281
  0.7914048   0.79492164 -0.80370873  0.3112679   0.79920864  0.37286216
 -0.6680953   0.55926496 -0.15182352  0.23528075]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
35,16,35,1,1,1,0,5390.0,[-0.8981514  0.5670649  0.1423519],"[-0.44933835 -0.49755046 -0.14410514 -0.4526646   0.02794278  0.02501673
  0.6899473  -0.09103006 -0.40284985  0.45399857  0.82130307  0.86243093
  0.08735731  0.36951655  0.5208137   0.6039482 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
36,16,36,1,1,1,0,5390.0,[-0.21290003 -0.40227285 -1.2393599 ],"[ 0.20827746 -0.40241623 -0.00719869  0.07695901 -0.589062   -0.00239918
 -0.5016428  -0.39050427  0.2828481  -0.5428157   0.53326833 -0.37011573
 -0.3746376   0.5134436   0.23754519 -0.27188757]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
37,16,37,1,1,1,0,5390.0,[0.18571106 0.08015149 0.29083014],"[ 0.30993134  0.20178029  0.1880567   0.5477026  -0.4744978   0.17930406
  0.03351086 -0.08293971  0.809009    0.02886972 -0.24643844 -0.40981585
  0.08173817 -0.15685466  0.2803679  -0.54502785]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
38,16,38,1,1,1,0,5390.0,[ 0.17635036 -0.25887752 -0.28611568],"[ 0.03609523 -0.43671343  0.30217618  0.05709845 -0.09121251 -0.4714715
 -0.80495536 -0.47568002  0.03151029 -0.507434   -0.27782038 -0.87188935
 -0.17394024  0.08036312  0.16563725  0.19622827]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
39,16,39,1,1,1,0,5390.0,[-0.30743477  0.14042552  0.01035205],"[ 0.6815631  -0.4093169   0.2049883   0.20748487 -0.9050945  -0.0124267
 -0.02191061 -0.68180597 -0.8409735   0.3632325   0.5474778  -0.90181863
  0.12523979  0.26110166  0.58965534  0.12813222]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
40,16,40,1,1,1,0,5390.0,[ 0.30105117 -0.46418676 -0.099721  ],"[ 0.02906293 -0.69954395 -0.89775455 -0.355103   -0.44427782 -0.39853704
  0.05684167 -0.22789842  0.17258692 -0.52646554  0.5989631  -0.07227725
 -0.66050863 -0.8150604  -0.1551199   0.47288346]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
41,16,41,1,1,1,0,5390.0,[-0.6204356  0.8584584 -0.5220866],"[-0.02876371  0.43645263  0.48138767 -0.34067935  0.19735026 -0.32507816
  0.29097953  0.6600137   0.05888    -0.05775511  0.39384413 -0.52526385
  0.2723613   0.14152917 -0.06954679  0.7279621 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
42,16,42,1,1,1,0,5390.0,[ 0.10876846 -0.18451971 -0.01237695],"[-0.2960296  -0.5423188  -0.71829957 -0.7588241  -0.36417848  0.55279964
 -0.6632107  -0.23887524 -0.04779193 -0.55794626 -0.980242    0.6961399
  0.62929195 -0.16696125  0.43673262 -0.3392529 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
43,16,43,1,1,1,0,5390.0,[ 0.2928636  -0.43578437 -0.13639846],"[ 0.08329102 -0.06672472  0.60844594  0.04297632  0.45566946  0.3667341
 -0.37089527 -0.9233072  -0.2003746   0.2170794   0.2977131  -0.43318814
 -0.6440581  -0.31165054 -0.88859457 -0.7332095 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
44,16,44,1,1,1,0,5390.0,[-0.8284875  -0.37829924 -0.76593447],"[ 0.26431972 -0.62060416 -0.29529148 -0.39625502 -0.0571388  -0.1420868
 -0.46535647 -0.535538   -0.446849   -0.5125634  -0.8041836   0.26783365
 -0.4319465   0.32690245  0.08214253  0.13979611]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
