WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 7 Model: 7 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat7_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 126/1000, Loss: 13.5123, Valid Loss: 15.0987
Epoch 127/1000, Loss: 16.1973, Valid Loss: 14.1453
Epoch 128/1000, Loss: 14.0255, Valid Loss: 10.9151
Epoch 129/1000, Loss: 15.3667, Valid Loss: 15.9790
Epoch 130/1000, Loss: 13.6866, Valid Loss: 12.2771
Epoch 131/1000, Loss: 13.7650, Valid Loss: 11.7131
Epoch 132/1000, Loss: 13.8590, Valid Loss: 12.5641
Epoch 133/1000, Loss: 16.1127, Valid Loss: 12.7818
Epoch 134/1000, Loss: 13.6767, Valid Loss: 13.0355
Epoch 135/1000, Loss: 17.7869, Valid Loss: 15.7863
Epoch 136/1000, Loss: 14.8922, Valid Loss: 10.7917
Epoch 137/1000, Loss: 15.3907, Valid Loss: 11.2359
Epoch 138/1000, Loss: 14.6462, Valid Loss: 11.5974
Epoch 139/1000, Loss: 13.9199, Valid Loss: 17.6719
Epoch 140/1000, Loss: 13.5095, Valid Loss: 13.8619
Epoch 141/1000, Loss: 14.1486, Valid Loss: 11.6064
Epoch 142/1000, Loss: 14.3818, Valid Loss: 13.0418
Epoch 143/1000, Loss: 14.0971, Valid Loss: 12.7550
Epoch 144/1000, Loss: 14.5343, Valid Loss: 14.3392
Epoch 145/1000, Loss: 15.1275, Valid Loss: 13.5695
Epoch 146/1000, Loss: 14.1982, Valid Loss: 13.5168
Epoch 147/1000, Loss: 15.1704, Valid Loss: 16.0665
Epoch 148/1000, Loss: 14.8446, Valid Loss: 16.2678
Epoch 149/1000, Loss: 14.4630, Valid Loss: 13.3808
Epoch 150/1000, Loss: 14.4286, Valid Loss: 15.4998
Epoch 151/1000, Loss: 14.0921, Valid Loss: 15.1903
Epoch 152/1000, Loss: 14.6222, Valid Loss: 13.8785
Epoch 153/1000, Loss: 14.9971, Valid Loss: 13.1039
Epoch 154/1000, Loss: 14.5640, Valid Loss: 11.8966
Epoch 155/1000, Loss: 13.9867, Valid Loss: 12.0555
Epoch 156/1000, Loss: 14.5713, Valid Loss: 14.3738
Epoch 157/1000, Loss: 13.8473, Valid Loss: 15.2325
Epoch 158/1000, Loss: 15.6668, Valid Loss: 12.8749
Epoch 159/1000, Loss: 14.0952, Valid Loss: 16.9513
Epoch 160/1000, Loss: 15.3827, Valid Loss: 13.7075
Epoch 161/1000, Loss: 14.3518, Valid Loss: 11.2405
Epoch 162/1000, Loss: 14.7413, Valid Loss: 19.4437
Epoch 163/1000, Loss: 14.2180, Valid Loss: 12.5852
Epoch 164/1000, Loss: 14.4572, Valid Loss: 14.2688
Epoch 165/1000, Loss: 14.4673, Valid Loss: 14.9421
Epoch 166/1000, Loss: 13.2587, Valid Loss: 14.1322
Epoch 167/1000, Loss: 14.2357, Valid Loss: 13.7461
Epoch 168/1000, Loss: 14.7767, Valid Loss: 11.7343
Epoch 169/1000, Loss: 15.0888, Valid Loss: 16.7251
Epoch 170/1000, Loss: 15.0957, Valid Loss: 15.9852
Epoch 171/1000, Loss: 14.7958, Valid Loss: 13.8087
Epoch 172/1000, Loss: 14.5974, Valid Loss: 12.4199
Epoch 173/1000, Loss: 15.5427, Valid Loss: 11.5078
Epoch 174/1000, Loss: 14.0164, Valid Loss: 17.3948
Epoch 175/1000, Loss: 14.9884, Valid Loss: 12.7472
Epoch 176/1000, Loss: 13.7621, Valid Loss: 13.6922
Epoch 177/1000, Loss: 14.7548, Valid Loss: 15.2202
Epoch 178/1000, Loss: 13.9921, Valid Loss: 12.7237
Epoch 179/1000, Loss: 14.2149, Valid Loss: 14.6187
Epoch 180/1000, Loss: 14.4668, Valid Loss: 14.2310
Epoch 181/1000, Loss: 13.7987, Valid Loss: 17.2376
Epoch 182/1000, Loss: 15.5532, Valid Loss: 17.8746
Epoch 183/1000, Loss: 17.9120, Valid Loss: 14.3810
Epoch 184/1000, Loss: 15.7860, Valid Loss: 12.5269
Epoch 185/1000, Loss: 13.7581, Valid Loss: 15.6649
Epoch 186/1000, Loss: 16.0523, Valid Loss: 12.9428
Epoch 187/1000, Loss: 15.5204, Valid Loss: 14.9170
Epoch 188/1000, Loss: 14.2194, Valid Loss: 13.4785
Epoch 189/1000, Loss: 14.2702, Valid Loss: 15.0759
Epoch 190/1000, Loss: 14.3277, Valid Loss: 18.6730
Epoch 191/1000, Loss: 14.7706, Valid Loss: 15.4367
Epoch 192/1000, Loss: 15.3562, Valid Loss: 12.6697
Epoch 193/1000, Loss: 14.7944, Valid Loss: 14.7080
Epoch 194/1000, Loss: 14.1208, Valid Loss: 16.2140
Epoch 195/1000, Loss: 15.2825, Valid Loss: 15.0621
Epoch 196/1000, Loss: 14.9987, Valid Loss: 18.1488
Epoch 197/1000, Loss: 14.6835, Valid Loss: 14.7829
Epoch 198/1000, Loss: 14.0629, Valid Loss: 15.4986
Epoch 199/1000, Loss: 15.1418, Valid Loss: 12.6299
Epoch 200/1000, Loss: 13.7487, Valid Loss: 13.8625
Epoch 201/1000, Loss: 13.7688, Valid Loss: 12.2511
Epoch 202/1000, Loss: 14.2361, Valid Loss: 13.1834
Epoch 203/1000, Loss: 14.0828, Valid Loss: 19.5113
Epoch 204/1000, Loss: 15.2989, Valid Loss: 16.3555
Epoch 205/1000, Loss: 15.0351, Valid Loss: 14.7835
Epoch 206/1000, Loss: 13.9202, Valid Loss: 14.7910
Epoch 207/1000, Loss: 14.7549, Valid Loss: 16.4969
Epoch 208/1000, Loss: 14.6809, Valid Loss: 17.9757
Epoch 209/1000, Loss: 13.6159, Valid Loss: 13.6271
Epoch 210/1000, Loss: 14.5246, Valid Loss: 14.0115
Epoch 211/1000, Loss: 14.3920, Valid Loss: 14.9435
Epoch 212/1000, Loss: 14.4648, Valid Loss: 11.9007
Epoch 213/1000, Loss: 14.7665, Valid Loss: 15.2367
Epoch 214/1000, Loss: 13.8037, Valid Loss: 13.6396
Epoch 215/1000, Loss: 14.9546, Valid Loss: 17.7892
Epoch 216/1000, Loss: 13.8426, Valid Loss: 13.3850
Epoch 217/1000, Loss: 14.6768, Valid Loss: 12.6990
Epoch 218/1000, Loss: 14.6795, Valid Loss: 13.2311
Epoch 219/1000, Loss: 14.2443, Valid Loss: 12.2559
Epoch 220/1000, Loss: 14.5829, Valid Loss: 15.5015
Epoch 221/1000, Loss: 14.1335, Valid Loss: 15.9154
Epoch 222/1000, Loss: 13.7443, Valid Loss: 13.8954
Epoch 223/1000, Loss: 15.5719, Valid Loss: 19.5129
Epoch 224/1000, Loss: 14.2554, Valid Loss: 12.8505
Epoch 225/1000, Loss: 14.4268, Valid Loss: 20.2205
Epoch 226/1000, Loss: 15.1620, Valid Loss: 14.2222
Epoch 227/1000, Loss: 15.3458, Valid Loss: 14.8440
Epoch 228/1000, Loss: 14.8744, Valid Loss: 15.0021
Epoch 229/1000, Loss: 14.8339, Valid Loss: 11.8893
Epoch 230/1000, Loss: 14.0549, Valid Loss: 14.4604
Epoch 231/1000, Loss: 14.4188, Valid Loss: 14.0137
Epoch 232/1000, Loss: 15.1676, Valid Loss: 11.9738
Epoch 233/1000, Loss: 13.8735, Valid Loss: 13.5123
Epoch 234/1000, Loss: 14.5432, Valid Loss: 12.3919
Epoch 235/1000, Loss: 13.8741, Valid Loss: 12.5265
Epoch 236/1000, Loss: 14.9440, Valid Loss: 12.1654
Epoch 237/1000, Loss: 14.2880, Valid Loss: 15.1528
Epoch 238/1000, Loss: 13.6845, Valid Loss: 17.0965
Epoch 239/1000, Loss: 14.2629, Valid Loss: 13.2511
