Epoch 182/1000, Loss: 13.6912, Valid Loss: 14.6061
Epoch 183/1000, Loss: 14.1326, Valid Loss: 12.7823
Epoch 184/1000, Loss: 15.1256, Valid Loss: 13.9028
Epoch 185/1000, Loss: 13.9780, Valid Loss: 14.1165
Epoch 186/1000, Loss: 14.7347, Valid Loss: 18.1708
Epoch 187/1000, Loss: 14.5583, Valid Loss: 15.6628
Epoch 188/1000, Loss: 14.8062, Valid Loss: 15.1274
Epoch 189/1000, Loss: 15.9142, Valid Loss: 12.5885
Epoch 190/1000, Loss: 15.9228, Valid Loss: 13.2357
Epoch 191/1000, Loss: 14.9150, Valid Loss: 19.6217
Epoch 192/1000, Loss: 14.0703, Valid Loss: 14.3257
Epoch 193/1000, Loss: 15.8030, Valid Loss: 14.4814
Epoch 194/1000, Loss: 14.6471, Valid Loss: 13.4436
Epoch 195/1000, Loss: 15.1611, Valid Loss: 15.5435
Epoch 196/1000, Loss: 15.1834, Valid Loss: 13.0613
Epoch 197/1000, Loss: 14.6549, Valid Loss: 14.3175
Epoch 198/1000, Loss: 15.4411, Valid Loss: 18.1413
Epoch 199/1000, Loss: 15.3122, Valid Loss: 13.2955
Epoch 200/1000, Loss: 14.6027, Valid Loss: 19.6645
Epoch 201/1000, Loss: 15.2889, Valid Loss: 14.3247
Epoch 202/1000, Loss: 14.9163, Valid Loss: 14.5069
Epoch 203/1000, Loss: 14.8943, Valid Loss: 12.6207
Epoch 204/1000, Loss: 14.2533, Valid Loss: 22.0801
Epoch 205/1000, Loss: 14.5525, Valid Loss: 18.5342
Epoch 206/1000, Loss: 14.6651, Valid Loss: 11.8805
Epoch 207/1000, Loss: 14.6848, Valid Loss: 12.7085
Epoch 208/1000, Loss: 14.2901, Valid Loss: 16.7861
Epoch 209/1000, Loss: 15.0189, Valid Loss: 12.6091
Epoch 210/1000, Loss: 14.6595, Valid Loss: 15.7192
Epoch 211/1000, Loss: 14.3690, Valid Loss: 13.3592
Epoch 212/1000, Loss: 14.6406, Valid Loss: 15.2864
Epoch 213/1000, Loss: 15.3371, Valid Loss: 14.8124
Epoch 214/1000, Loss: 15.0503, Valid Loss: 14.6362
Epoch 215/1000, Loss: 14.2866, Valid Loss: 14.2239
Epoch 216/1000, Loss: 15.0363, Valid Loss: 17.2317
Epoch 217/1000, Loss: 14.3677, Valid Loss: 16.1386
Epoch 218/1000, Loss: 14.3051, Valid Loss: 14.5167
Epoch 219/1000, Loss: 14.9354, Valid Loss: 13.8366
Epoch 220/1000, Loss: 15.4780, Valid Loss: 17.3658
Epoch 221/1000, Loss: 16.3024, Valid Loss: 13.7176
Epoch 222/1000, Loss: 16.3804, Valid Loss: 12.1149
Epoch 223/1000, Loss: 14.3181, Valid Loss: 14.3412
Epoch 224/1000, Loss: 14.8120, Valid Loss: 13.1149
Epoch 225/1000, Loss: 15.0092, Valid Loss: 13.4817
Epoch 226/1000, Loss: 15.0909, Valid Loss: 15.6713
Epoch 227/1000, Loss: 14.0624, Valid Loss: 13.7052
Epoch 228/1000, Loss: 14.4765, Valid Loss: 14.6658
Epoch 229/1000, Loss: 14.8218, Valid Loss: 15.6005
Epoch 230/1000, Loss: 14.5019, Valid Loss: 16.1702
Epoch 231/1000, Loss: 15.6017, Valid Loss: 16.3098
Epoch 232/1000, Loss: 15.3255, Valid Loss: 15.3730
Epoch 233/1000, Loss: 14.7636, Valid Loss: 15.4270
Epoch 234/1000, Loss: 14.4268, Valid Loss: 17.6552
Epoch 235/1000, Loss: 15.4169, Valid Loss: 22.5257
Epoch 236/1000, Loss: 15.8915, Valid Loss: 13.4086
Epoch 237/1000, Loss: 13.9743, Valid Loss: 15.1881
Epoch 238/1000, Loss: 14.4669, Valid Loss: 13.1491
Epoch 239/1000, Loss: 15.5637, Valid Loss: 17.8081
Epoch 240/1000, Loss: 15.1670, Valid Loss: 14.1254
