WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
Exp: 7 Model: 7 mini_batch
Remember to switch the noise schedule for sampling!
Using EDM noise schedule with log_snr_min: -8.764053344726562, log_snr_max: 12.429216384887695
Kernel type: variance_preserving, noise schedule: edm-training
t_min: 0.9999853372573853, t_max: 1.6391277313232422e-06
alpha, sigma: (tensor(1.0000), tensor(0.0020)) (tensor(0.0125), tensor(0.9999))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat7_1score_model_F_variance_preserving_edm-training_edm
Training F-model for 1000 epochs with learning rate 0.0005 and edm weighting.
Epoch 128/1000, Loss: 0.8802, Valid Loss: 0.8652
Epoch 129/1000, Loss: 0.8767, Valid Loss: 0.8765
Epoch 130/1000, Loss: 0.8815, Valid Loss: 0.8918
Epoch 131/1000, Loss: 0.8750, Valid Loss: 0.8814
Epoch 132/1000, Loss: 0.8742, Valid Loss: 0.8719
Epoch 133/1000, Loss: 0.8757, Valid Loss: 0.8603
Epoch 134/1000, Loss: 0.8742, Valid Loss: 0.8813
Epoch 135/1000, Loss: 0.8696, Valid Loss: 0.8736
Epoch 136/1000, Loss: 0.8756, Valid Loss: 0.8753
Epoch 137/1000, Loss: 0.8745, Valid Loss: 0.8466
Epoch 138/1000, Loss: 0.8768, Valid Loss: 0.8698
Epoch 139/1000, Loss: 0.8712, Valid Loss: 0.8633
Epoch 140/1000, Loss: 0.8685, Valid Loss: 0.8792
Epoch 141/1000, Loss: 0.8754, Valid Loss: 0.8932
Epoch 142/1000, Loss: 0.8707, Valid Loss: 0.8874
Epoch 143/1000, Loss: 0.8682, Valid Loss: 0.8715
Epoch 144/1000, Loss: 0.8682, Valid Loss: 0.8780
Epoch 145/1000, Loss: 0.8746, Valid Loss: 0.8911
Epoch 146/1000, Loss: 0.8747, Valid Loss: 0.8624
Epoch 147/1000, Loss: 0.8703, Valid Loss: 0.8619
Epoch 148/1000, Loss: 0.8711, Valid Loss: 0.8847
Epoch 149/1000, Loss: 0.8725, Valid Loss: 0.8651
Epoch 150/1000, Loss: 0.8750, Valid Loss: 0.8869
Epoch 151/1000, Loss: 0.8777, Valid Loss: 0.8775
Epoch 152/1000, Loss: 0.8748, Valid Loss: 0.8603
Epoch 153/1000, Loss: 0.8753, Valid Loss: 0.8789
Epoch 154/1000, Loss: 0.8650, Valid Loss: 0.8706
Epoch 155/1000, Loss: 0.8775, Valid Loss: 0.8620
Epoch 156/1000, Loss: 0.8733, Valid Loss: 0.8728
Epoch 157/1000, Loss: 0.8733, Valid Loss: 0.8729
Epoch 158/1000, Loss: 0.8781, Valid Loss: 0.8681
Epoch 159/1000, Loss: 0.8705, Valid Loss: 0.8676
Epoch 160/1000, Loss: 0.8782, Valid Loss: 0.8703
Epoch 161/1000, Loss: 0.8732, Valid Loss: 0.8808
Epoch 162/1000, Loss: 0.8787, Valid Loss: 0.8552
Epoch 163/1000, Loss: 0.8802, Valid Loss: 0.8864
Epoch 164/1000, Loss: 0.8784, Valid Loss: 0.8673
Epoch 165/1000, Loss: 0.8681, Valid Loss: 0.8695
Epoch 166/1000, Loss: 0.8729, Valid Loss: 0.8619
Epoch 167/1000, Loss: 0.8794, Valid Loss: 0.8643
Epoch 168/1000, Loss: 0.8673, Valid Loss: 0.8780
Epoch 169/1000, Loss: 0.8711, Valid Loss: 0.8880
Epoch 170/1000, Loss: 0.8742, Valid Loss: 0.8841
Epoch 171/1000, Loss: 0.8686, Valid Loss: 0.8909
Epoch 172/1000, Loss: 0.8706, Valid Loss: 0.8685
Epoch 173/1000, Loss: 0.8711, Valid Loss: 0.8531
Epoch 174/1000, Loss: 0.8773, Valid Loss: 0.8780
Epoch 175/1000, Loss: 0.8744, Valid Loss: 0.8605
Epoch 176/1000, Loss: 0.8792, Valid Loss: 0.8619
Epoch 177/1000, Loss: 0.8638, Valid Loss: 0.8761
Epoch 178/1000, Loss: 0.8790, Valid Loss: 0.8574
Epoch 179/1000, Loss: 0.8744, Valid Loss: 0.8587
Epoch 180/1000, Loss: 0.8695, Valid Loss: 0.8682
Epoch 181/1000, Loss: 0.8728, Valid Loss: 0.8957
Epoch 182/1000, Loss: 0.8781, Valid Loss: 0.8700
Epoch 183/1000, Loss: 0.8826, Valid Loss: 0.8576
Epoch 184/1000, Loss: 0.8796, Valid Loss: 0.8694
Epoch 185/1000, Loss: 0.8761, Valid Loss: 0.8775
Epoch 186/1000, Loss: 0.8762, Valid Loss: 0.8756
Epoch 187/1000, Loss: 0.8732, Valid Loss: 0.8732
Epoch 188/1000, Loss: 0.8782, Valid Loss: 0.8509
Epoch 189/1000, Loss: 0.8624, Valid Loss: 0.9019
Epoch 190/1000, Loss: 0.8789, Valid Loss: 0.8760
Epoch 191/1000, Loss: 0.8682, Valid Loss: 0.8658
Epoch 192/1000, Loss: 0.8714, Valid Loss: 0.8922
Epoch 193/1000, Loss: 0.8730, Valid Loss: 0.8633
Epoch 194/1000, Loss: 0.8651, Valid Loss: 0.8694
Epoch 195/1000, Loss: 0.8750, Valid Loss: 0.8780
Epoch 196/1000, Loss: 0.8689, Valid Loss: 0.8720
