Epoch 196/1000, Loss: 15.5108, Valid Loss: 13.6432
Epoch 197/1000, Loss: 14.8998, Valid Loss: 12.0649
Epoch 198/1000, Loss: 14.7884, Valid Loss: 16.7422
Epoch 199/1000, Loss: 14.7991, Valid Loss: 18.7023
Epoch 200/1000, Loss: 15.4897, Valid Loss: 13.1483
Epoch 201/1000, Loss: 15.2961, Valid Loss: 16.9780
Epoch 202/1000, Loss: 14.7048, Valid Loss: 15.9516
Epoch 203/1000, Loss: 14.4371, Valid Loss: 13.8122
Epoch 204/1000, Loss: 15.5142, Valid Loss: 12.5548
Epoch 205/1000, Loss: 15.3022, Valid Loss: 13.7383
Epoch 206/1000, Loss: 14.5595, Valid Loss: 18.0748
Epoch 207/1000, Loss: 14.9123, Valid Loss: 12.8753
Epoch 208/1000, Loss: 14.4467, Valid Loss: 14.1881
Epoch 209/1000, Loss: 15.3563, Valid Loss: 16.6495
Epoch 210/1000, Loss: 14.8737, Valid Loss: 20.4885
Epoch 211/1000, Loss: 14.6706, Valid Loss: 16.7604
Epoch 212/1000, Loss: 14.3070, Valid Loss: 19.0228
Epoch 213/1000, Loss: 15.4291, Valid Loss: 13.9427
Epoch 214/1000, Loss: 15.4961, Valid Loss: 13.3785
Epoch 215/1000, Loss: 15.7507, Valid Loss: 11.5225
Epoch 216/1000, Loss: 14.9688, Valid Loss: 12.0004
Epoch 217/1000, Loss: 15.1380, Valid Loss: 15.2030
Epoch 218/1000, Loss: 14.7183, Valid Loss: 15.4904
Epoch 219/1000, Loss: 14.9696, Valid Loss: 14.8267
Epoch 220/1000, Loss: 15.0589, Valid Loss: 14.4106
Epoch 221/1000, Loss: 15.3201, Valid Loss: 16.5580
Epoch 222/1000, Loss: 15.4509, Valid Loss: 12.3261
Epoch 223/1000, Loss: 15.1339, Valid Loss: 13.8442
Epoch 224/1000, Loss: 14.6133, Valid Loss: 14.7501
Epoch 225/1000, Loss: 15.5855, Valid Loss: 15.3600
Epoch 226/1000, Loss: 15.4373, Valid Loss: 14.3353
Epoch 227/1000, Loss: 14.3912, Valid Loss: 14.8917
Epoch 228/1000, Loss: 15.0606, Valid Loss: 18.1123
Epoch 229/1000, Loss: 14.3908, Valid Loss: 14.2764
Epoch 230/1000, Loss: 15.7985, Valid Loss: 14.5565
Epoch 231/1000, Loss: 15.2201, Valid Loss: 12.6235
Epoch 232/1000, Loss: 15.5247, Valid Loss: 12.9852
Epoch 233/1000, Loss: 13.9998, Valid Loss: 16.0964
Epoch 234/1000, Loss: 14.4505, Valid Loss: 12.6355
Epoch 235/1000, Loss: 15.7609, Valid Loss: 14.6210
Epoch 236/1000, Loss: 14.7142, Valid Loss: 15.4804
Epoch 237/1000, Loss: 15.2602, Valid Loss: 17.6212
Epoch 238/1000, Loss: 14.8510, Valid Loss: 15.3376
Epoch 239/1000, Loss: 13.9819, Valid Loss: 13.7926
Epoch 240/1000, Loss: 15.2287, Valid Loss: 13.1289
Epoch 241/1000, Loss: 14.6930, Valid Loss: 14.4969
Epoch 242/1000, Loss: 14.9961, Valid Loss: 14.1702
Epoch 243/1000, Loss: 15.8482, Valid Loss: 16.1411
Epoch 244/1000, Loss: 14.7665, Valid Loss: 18.0102
Epoch 245/1000, Loss: 14.8950, Valid Loss: 12.7233
Epoch 246/1000, Loss: 15.2675, Valid Loss: 13.9025
Epoch 247/1000, Loss: 14.4472, Valid Loss: 16.3937
Epoch 248/1000, Loss: 14.6866, Valid Loss: 13.5544
Epoch 249/1000, Loss: 13.7905, Valid Loss: 12.2788
Epoch 250/1000, Loss: 14.6616, Valid Loss: 12.2481
Epoch 251/1000, Loss: 15.5785, Valid Loss: 18.1187
Epoch 252/1000, Loss: 14.8227, Valid Loss: 16.6967
Epoch 253/1000, Loss: 14.5313, Valid Loss: 12.8011
Epoch 254/1000, Loss: 14.7556, Valid Loss: 14.2590
Epoch 255/1000, Loss: 14.4887, Valid Loss: 14.7884
Epoch 256/1000, Loss: 14.9641, Valid Loss: 13.8085
Epoch 257/1000, Loss: 14.9921, Valid Loss: 14.1773
Epoch 258/1000, Loss: 15.1992, Valid Loss: 14.6119
Epoch 259/1000, Loss: 14.8506, Valid Loss: 15.2963
Epoch 260/1000, Loss: 15.5559, Valid Loss: 14.6696
Epoch 261/1000, Loss: 14.1968, Valid Loss: 15.7623
Epoch 262/1000, Loss: 15.2829, Valid Loss: 13.3513
Epoch 263/1000, Loss: 15.2240, Valid Loss: 17.3686
Epoch 264/1000, Loss: 14.2814, Valid Loss: 12.4329
Epoch 265/1000, Loss: 14.8586, Valid Loss: 14.1052
Epoch 266/1000, Loss: 14.1179, Valid Loss: 12.9169
Epoch 267/1000, Loss: 14.6474, Valid Loss: 12.9850
Epoch 268/1000, Loss: 15.4179, Valid Loss: 16.4234
Epoch 269/1000, Loss: 14.3796, Valid Loss: 14.7280
Epoch 270/1000, Loss: 15.2633, Valid Loss: 13.7723
Epoch 271/1000, Loss: 15.4246, Valid Loss: 17.2088
Epoch 272/1000, Loss: 14.6627, Valid Loss: 13.1632
Epoch 273/1000, Loss: 15.8792, Valid Loss: 14.5686
Epoch 274/1000, Loss: 15.4219, Valid Loss: 17.0367
Epoch 275/1000, Loss: 14.2853, Valid Loss: 12.8638
Epoch 276/1000, Loss: 14.3988, Valid Loss: 13.7477
Epoch 277/1000, Loss: 14.0614, Valid Loss: 14.3879
Epoch 278/1000, Loss: 14.0866, Valid Loss: 14.1296
Epoch 279/1000, Loss: 14.4481, Valid Loss: 18.3159
Epoch 280/1000, Loss: 15.3401, Valid Loss: 12.9125
Epoch 281/1000, Loss: 15.6358, Valid Loss: 13.4563
Epoch 282/1000, Loss: 15.6529, Valid Loss: 13.6208
Epoch 283/1000, Loss: 14.8113, Valid Loss: 12.4850
Epoch 284/1000, Loss: 14.9536, Valid Loss: 14.4012
Epoch 285/1000, Loss: 15.1077, Valid Loss: 18.7523
Epoch 286/1000, Loss: 15.4335, Valid Loss: 12.0156
