,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction,model_id
36,1000,36,100,1,1,0,3645.67,415.0818093643178,"[ 0.03047846 -0.031982    0.07895249 -0.04213409  0.09088647 -0.07774276
 -0.05938838  0.00896131 -0.0464045  -0.18451546]",0.11531095,0.317,0.97699344,0.9779704350233076,0
37,1000,37,100,1,1,0,3645.67,72.93570948732682,"[ 0.03037064 -0.01761232  0.07441896 -0.00432074  0.02498773 -0.01546611
  0.06613947 -0.0779449   0.00591752  0.14781387]",0.11531095,0.317,0.97699344,0.9779704350233076,0
38,1000,38,100,1,1,0,3645.67,248.7123093189992,"[-0.09334663  0.0725441  -0.18191032 -0.11062533 -0.00716952 -0.26299027
 -0.1580742  -0.11736186  0.20521642  0.06981146]",0.11531095,0.317,0.97699344,0.9779704350233076,0
39,1000,39,100,1,1,0,3645.67,156.72531436052068,"[ 0.07654051 -0.10837691 -0.00712903 -0.16275428 -0.0179031  -0.02030551
  0.15549335  0.11791813  0.19030198  0.04917467]",0.11531095,0.317,0.97699344,0.9779704350233076,0
40,1000,40,100,1,1,0,3645.67,262.72082319199745,"[-0.05168847 -0.18905815  0.0938305   0.05479771 -0.14076152  0.12690346
  0.13601452  0.03365205  0.03891884 -0.079113  ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
41,1000,41,100,1,1,0,3645.67,110.24942361036337,"[-0.16703057  0.1683681   0.00450484 -0.08994774  0.13065547  0.09536222
 -0.06289755 -0.00670845  0.09517011  0.19936246]",0.11531095,0.317,0.97699344,0.9779704350233076,0
42,1000,42,100,1,1,0,3645.67,120.78147852017,"[ 0.05379113  0.06462431 -0.20258437 -0.06000496 -0.04059498  0.02817517
  0.09869644 -0.1708904  -0.09526178  0.01123395]",0.11531095,0.317,0.97699344,0.9779704350233076,0
43,1000,43,100,1,1,0,3645.67,228.97079075606177,"[-0.02652684 -0.20825124  0.08350116  0.06516214 -0.09097169  0.11988514
  0.12878145  0.0903333   0.06561782 -0.05534872]",0.11531095,0.317,0.97699344,0.9779704350233076,0
44,1000,44,100,1,1,0,3645.67,417.8162252158366,"[-0.03189226 -0.15035856  0.09661593  0.02641883  0.05896203  0.04853943
  0.05340839  0.02434523 -0.15444839  0.00817561]",0.11531095,0.317,0.97699344,0.9779704350233076,0
45,1000,45,100,1,1,0,3645.67,169.89133732906015,"[-0.14287272  0.07253845  0.05169448 -0.02040715  0.11038707  0.24868897
 -0.06924612 -0.22322658 -0.1431972   0.12786058]",0.11531095,0.317,0.97699344,0.9779704350233076,0
46,1000,46,100,1,1,0,3645.67,295.33866209223345,"[-0.12499753 -0.0696523  -0.03955854 -0.00540537  0.0579788   0.34536368
 -0.05122694 -0.07844358 -0.3197589   0.14215712]",0.11531095,0.317,0.97699344,0.9779704350233076,0
47,1000,47,100,1,1,0,3645.67,361.3052923361365,"[-0.13864577 -0.14621723  0.01351426 -0.11429884  0.1210003   0.11466666
  0.19215392 -0.09319019  0.12993355  0.05106039]",0.11531095,0.317,0.97699344,0.9779704350233076,0
48,1000,48,100,1,1,0,3645.67,809.5459242432642,"[ 0.12070958  0.05523062 -0.05405892 -0.12625444  0.03048168 -0.17940626
  0.22659887  0.10159273 -0.06523006  0.04761848]",0.11531095,0.317,0.97699344,0.9779704350233076,0
49,1000,49,100,1,1,0,3645.67,541.8964097009276,"[-0.10082963 -0.07661866  0.20604266  0.01451182  0.25867996  0.06211539
  0.00113889 -0.02856136 -0.19347289  0.08968362]",0.11531095,0.317,0.97699344,0.9779704350233076,0
50,1000,50,100,1,1,0,3645.67,228.0176902088918,"[ 0.00536985  0.03392018  0.14207971 -0.06483489  0.07381877  0.02352254
 -0.1700121  -0.12132432 -0.20885867  0.23450744]",0.11531095,0.317,0.97699344,0.9779704350233076,0
51,1000,51,100,1,1,0,3645.67,428.8966667822073,"[-0.0124223   0.27733392 -0.15527555 -0.29392835 -0.15675178 -0.02694609
 -0.03186128  0.13329461 -0.00121274  0.2626915 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
52,1000,52,100,1,1,0,3645.67,323.7255763953595,"[-0.05077538 -0.07285733 -0.07332764 -0.01830694 -0.04240657 -0.06640363
  0.08764733  0.11895131 -0.18981256  0.23616809]",0.11531095,0.317,0.97699344,0.9779704350233076,0
53,1000,53,100,1,1,0,3645.67,313.1612873910321,"[-0.2550422   0.11969742  0.09164532 -0.06963588 -0.11400875 -0.05646134
 -0.06109094  0.02302225 -0.05926959  0.05689853]",0.11531095,0.317,0.97699344,0.9779704350233076,0
54,1000,54,100,1,1,0,3645.67,219.3686442732284,"[-0.00288637 -0.16852674  0.08004516  0.08027987 -0.07791509 -0.04088849
  0.10810392 -0.22311851  0.08720076 -0.08561771]",0.11531095,0.317,0.97699344,0.9779704350233076,0
55,1000,55,100,1,1,0,3645.67,327.6204194889934,"[ 0.00934152  0.03482003  0.13840249 -0.04888433  0.07815003  0.20134777
 -0.17942026 -0.07855747 -0.18826263  0.09394979]",0.11531095,0.317,0.97699344,0.9779704350233076,0
56,1000,56,100,1,1,0,3645.67,269.7007966230297,"[ 0.13647556 -0.00624838  0.03805823 -0.23599742 -0.06846999 -0.03471075
  0.03771285  0.05514327  0.03959073  0.15389088]",0.11531095,0.317,0.97699344,0.9779704350233076,0
57,1000,57,100,1,1,0,3645.67,106.03718948471672,"[ 0.01945333 -0.12420869 -0.00193615  0.00188596  0.04200085 -0.14039402
 -0.12520383 -0.05090625  0.06185329  0.15920246]",0.11531095,0.317,0.97699344,0.9779704350233076,0
58,1000,58,100,1,1,0,3645.67,388.3228166772832,"[-0.15850084 -0.08553546 -0.059077    0.04649268  0.00206747 -0.09801924
 -0.02536255  0.0191144  -0.05495059 -0.41500044]",0.11531095,0.317,0.97699344,0.9779704350233076,0
59,1000,59,100,1,1,0,3645.67,339.41027505365133,"[ 0.06504031  0.03536105 -0.05007344 -0.08806679  0.01345149  0.01353262
  0.00029039 -0.0300036   0.0148616   0.1282495 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
60,1000,60,100,1,1,0,3645.67,237.7193115698925,"[-0.1507593   0.07845156 -0.0964025  -0.01685657 -0.15161142 -0.14345808
 -0.05655269 -0.11356317  0.07327205  0.02441781]",0.11531095,0.317,0.97699344,0.9779704350233076,0
61,1000,61,100,1,1,0,3645.67,159.73748044449246,"[-0.10078938 -0.20158091  0.13055213  0.07848461 -0.04948422  0.1213679
  0.16712517  0.04650134  0.11665381 -0.15404978]",0.11531095,0.317,0.97699344,0.9779704350233076,0
62,1000,62,100,1,1,0,3645.67,420.5197406988087,"[ 0.07462022 -0.05480102 -0.04329985  0.00369354 -0.03027685 -0.12398458
  0.00091909  0.12155839  0.12306371  0.1339587 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
63,1000,63,100,1,1,0,3645.67,180.5997454240536,"[-0.08496022  0.06305049  0.03297359 -0.04660295 -0.0217145  -0.0117446
 -0.18982518  0.05345899  0.13847381  0.20306426]",0.11531095,0.317,0.97699344,0.9779704350233076,0
64,1000,64,100,1,1,0,3645.67,364.6311055457635,"[-0.02947212  0.225634    0.11871584 -0.08816998 -0.1743971   0.09378823
  0.01329474  0.06358472 -0.04096776  0.23155063]",0.11531095,0.317,0.97699344,0.9779704350233076,0
65,1000,65,100,1,1,0,3645.67,391.1654285182155,"[ 0.04750456 -0.23697123  0.11699256  0.07384944 -0.00349675  0.14157026
  0.03959521  0.00226094 -0.04708788 -0.14903602]",0.11531095,0.317,0.97699344,0.9779704350233076,0
66,1000,66,100,1,1,0,3645.67,503.54754289364354,"[-0.10405397 -0.11493756  0.11314704  0.0125558  -0.01984034  0.01327082
  0.0039416   0.12242771 -0.24322839  0.16360964]",0.11531095,0.317,0.97699344,0.9779704350233076,0
67,1000,67,100,1,1,0,3645.67,173.2507317025725,"[-0.0089068  -0.17788857 -0.17090467 -0.0719251   0.13000078 -0.02674435
 -0.14028087  0.11901371  0.22494338 -0.00595297]",0.11531095,0.317,0.97699344,0.9779704350233076,0
68,1000,68,100,1,1,0,3645.67,396.05419347167,"[-0.07413975  0.12484558  0.10065018  0.03187127 -0.02839252 -0.24194351
  0.15513286 -0.15167223 -0.15656614  0.25302428]",0.11531095,0.317,0.97699344,0.9779704350233076,0
69,1000,69,100,1,1,0,3645.67,40.31088993033046,"[ 0.0004675   0.14520863 -0.14842558 -0.23179282 -0.0790417  -0.02616274
 -0.09633165 -0.00231492  0.04018399  0.16390654]",0.11531095,0.317,0.97699344,0.9779704350233076,0
70,1000,70,100,1,1,0,3645.67,199.13026361652732,"[-0.12771916 -0.12009279 -0.03172429  0.0745436  -0.02918523  0.22079203
  0.13935333 -0.02082853  0.12662357  0.04579534]",0.11531095,0.317,0.97699344,0.9779704350233076,0
71,1000,71,100,1,1,0,3645.67,201.4934520656541,"[-0.04082619  0.06821091 -0.07095922 -0.06275132  0.18966666 -0.06286129
 -0.0768875   0.02473313  0.01639124 -0.02839103]",0.11531095,0.317,0.97699344,0.9779704350233076,0
72,1000,72,100,1,1,0,3645.67,168.16755076212343,"[ 0.03447852 -0.00987557  0.05032342  0.03467622 -0.12890916 -0.13522527
 -0.10209808  0.08341672  0.14830583  0.15143803]",0.11531095,0.317,0.97699344,0.9779704350233076,0
73,1000,73,100,1,1,0,3645.67,506.0742847395463,"[-0.02664747 -0.11031183 -0.03553256 -0.13485055  0.2177352  -0.21600349
  0.10272822 -0.04411937  0.00900465 -0.21781708]",0.11531095,0.317,0.97699344,0.9779704350233076,0
74,1000,74,100,1,1,0,3645.67,279.1692049529846,"[-0.1288245  -0.1557212   0.16987841  0.02193484 -0.03475764  0.12204521
  0.05736654  0.11768453 -0.18472171  0.11754128]",0.11531095,0.317,0.97699344,0.9779704350233076,0
75,1000,75,100,1,1,0,3645.67,365.216758228388,"[ 0.03900293 -0.24621189  0.1309145   0.11409899 -0.02306607  0.13521828
  0.09866399 -0.02505454 -0.00298723 -0.23518088]",0.11531095,0.317,0.97699344,0.9779704350233076,0
76,1000,76,100,1,1,0,3645.67,52.96489454153729,"[-0.07448873  0.00798279  0.09670459 -0.02257282  0.12782465 -0.14566623
 -0.02734779  0.00960241  0.21326362 -0.05896035]",0.11531095,0.317,0.97699344,0.9779704350233076,0
77,1000,77,100,1,1,0,3645.67,136.8779654473062,"[-0.08442983  0.07217976 -0.08222794 -0.03404958 -0.03931642 -0.22049391
  0.01341345  0.03226749 -0.15700218  0.02177108]",0.11531095,0.317,0.97699344,0.9779704350233076,0
78,1000,78,100,1,1,0,3645.67,94.32733283995844,"[ 0.14413123  0.0332583   0.07170714 -0.20247811  0.03907334 -0.02396845
  0.05330732  0.03864533 -0.12678996  0.07922797]",0.11531095,0.317,0.97699344,0.9779704350233076,0
79,1000,79,100,1,1,0,3645.67,201.8728441124497,"[-0.02501641  0.03020617 -0.08909238  0.09538253 -0.09268174 -0.21169873
 -0.08606    -0.06115128  0.06648386 -0.02185555]",0.11531095,0.317,0.97699344,0.9779704350233076,0
80,1000,80,100,1,1,0,3645.67,468.371031244617,"[ 0.1435681   0.00585922 -0.01180794 -0.09986727  0.08154206  0.04140131
  0.09186846  0.05246145 -0.16675529  0.01156011]",0.11531095,0.317,0.97699344,0.9779704350233076,0
81,1000,81,100,1,1,0,3645.67,372.8057160978455,"[-0.04307612  0.07388966  0.06945464 -0.08229861  0.01301378  0.22528233
 -0.02750539  0.14186504 -0.03861561  0.14762594]",0.11531095,0.317,0.97699344,0.9779704350233076,0
82,1000,82,100,1,1,0,3645.67,652.1160190288014,"[ 0.00475967 -0.06472465 -0.02678709 -0.04707884 -0.10113384 -0.00272104
  0.08921814  0.13320465  0.15414692  0.09850875]",0.11531095,0.317,0.97699344,0.9779704350233076,0
83,1000,83,100,1,1,0,3645.67,211.83985264956345,"[-0.00493995  0.10798429 -0.03814334 -0.07699941  0.05566201 -0.02108609
 -0.07474626  0.00092832  0.03852976  0.09181415]",0.11531095,0.317,0.97699344,0.9779704350233076,0
84,1000,84,100,1,1,0,3645.67,334.5442147718941,"[-0.00307416 -0.10815479  0.16295111  0.1140744   0.02027343  0.00424929
  0.08461058  0.01894188 -0.1290272  -0.02047674]",0.11531095,0.317,0.97699344,0.9779704350233076,0
85,1000,85,100,1,1,0,3645.67,254.08830236673865,"[-0.20148236 -0.17378695 -0.04847916 -0.07540023 -0.07775661 -0.0442335
 -0.06876831  0.0127755   0.0130764  -0.13388246]",0.11531095,0.317,0.97699344,0.9779704350233076,0
86,1000,86,100,1,1,0,3645.67,144.83628980595543,"[ 0.10970293  0.03247486  0.02990895  0.0124773   0.00113144 -0.11775714
 -0.02076316  0.0600605  -0.08639833  0.19146958]",0.11531095,0.317,0.97699344,0.9779704350233076,0
